Sim Name,age_effect,initial_effect,final_effect,mort_effect,prod_effect,fert_effect,pop_diffs_2045_2065,pop_diffs_2026_2100,pop_diffs_2050,total_pop_diff_2050,avg_diff,avg_gdp_pc_diff,discount_rate,NPV,"QALY 20, $B","QALY NPV, $T"
"41 the new 40, fertility only",40,10,20,0.0,0.0,0.5,0.5318837637507887,38.31953089912822,0.0,0.36463356013707865,-20.679366642440655,-89.29484487789921,0.02,8.030402964768548,102.21210321385202,5.023989748247172
"41 the new 40, fertility only",40,10,20,0.0,0.0,0.5,0.5318837637507887,38.31953089912822,0.0,0.36463356013707865,-20.679366642440655,-89.29484487789921,0.03,3.544492094685495,102.21210321385202,3.0178079899699073
"41 the new 40, fertility only",40,10,20,0.0,0.0,0.5,0.5318837637507887,38.31953089912822,0.0,0.36463356013707865,-20.679366642440655,-89.29484487789921,0.035,2.3629062006974606,102.21210321385202,2.3613576418932376
"41 the new 40, fertility only",40,10,20,0.0,0.0,0.5,0.5318837637507887,38.31953089912822,0.0,0.36463356013707865,-20.679366642440655,-89.29484487789921,0.04,1.576199396135128,102.21210321385202,1.8595664487241703
"41 the new 40, fertility only",40,10,20,0.0,0.0,0.5,0.5318837637507887,38.31953089912822,0.0,0.36463356013707865,-20.679366642440655,-89.29484487789921,0.05,0.697004370390959,102.21210321385202,1.1754951260946944
"41 the new 40, fertility only",40,10,20,0.0,0.0,0.5,0.5318837637507887,38.31953089912822,0.0,0.36463356013707865,-20.679366642440655,-89.29484487789921,0.06,0.2985168423543993,102.21210321385202,0.7619689551530371
41 the new 40,40,10,20,0.5,0.5,0.5,33.88160745351288,154.39599117713132,1.358460384925954,1.7231994507107553,408.3826191493894,425.3887899111599,0.01,53.27238260251561,372.5998281224771,20.051912067304404
41 the new 40,40,10,20,0.5,0.5,0.5,33.88160745351288,154.39599117713132,1.358460384925954,1.7231994507107553,408.3826191493894,425.3887899111599,0.02,27.101816960755027,372.5998281224771,12.313324327320057
41 the new 40,40,10,20,0.5,0.5,0.5,33.88160745351288,154.39599117713132,1.358460384925954,1.7231994507107553,408.3826191493894,425.3887899111599,0.03,14.586633937417492,372.5998281224771,7.7739943574977985
41 the new 40,40,10,20,0.5,0.5,0.5,33.88160745351288,154.39599117713132,1.358460384925954,1.7231994507107553,408.3826191493894,425.3887899111599,0.035,10.930641608461587,372.5998281224771,6.2405209489278475
41 the new 40,40,10,20,0.5,0.5,0.5,33.88160745351288,154.39599117713132,1.358460384925954,1.7231994507107553,408.3826191493894,425.3887899111599,0.04,8.304524255975597,372.5998281224771,5.042997092062812
41 the new 40,40,10,20,0.5,0.5,0.5,33.88160745351288,154.39599117713132,1.358460384925954,1.7231994507107553,408.3826191493894,425.3887899111599,0.05,4.9840289031542975,372.5998281224771,3.3574520994506916
41 the new 40,40,10,20,0.5,0.5,0.5,33.88160745351288,154.39599117713132,1.358460384925954,1.7231994507107553,408.3826191493894,425.3887899111599,0.06,3.13378647031449,372.5998281224771,2.2904849546581354
"45 the new 40, mortality only",40,10,20,2.5,0.0,0.0,162.52688124970066,574.6856440006678,6.4731129770693085,6.4734666401878815,708.7132260684939,-2209.726297482478,0.01,71.89438822625911,1318.9294994981308,56.67477179522925
"45 the new 40, mortality only",40,10,20,2.5,0.0,0.0,162.52688124970066,574.6856440006678,6.4731129770693085,6.4734666401878815,708.7132260684939,-2209.726297482478,0.02,38.034437256148564,1318.9294994981308,35.90414519510567
"45 the new 40, mortality only",40,10,20,2.5,0.0,0.0,162.52688124970066,574.6856440006678,6.4731129770693085,6.4734666401878815,708.7132260684939,-2209.726297482478,0.03,21.11118048153098,1318.9294994981308,23.36093070340096
"45 the new 40, mortality only",40,10,20,2.5,0.0,0.0,162.52688124970066,574.6856440006678,6.4731129770693085,6.4734666401878815,708.7132260684939,-2209.726297482478,0.035,15.999268294704747,1318.9294994981308,19.02549133330311
"45 the new 40, mortality only",40,10,20,2.5,0.0,0.0,162.52688124970066,574.6856440006678,6.4731129770693085,6.4734666401878815,708.7132260684939,-2209.726297482478,0.04,12.255299466727942,1318.9294994981308,15.590143295626035
